cram,club,score
english,none,65
english,none,85
english,none,75
english,none,85
english,none,75
english,none,80
english,none,90
english,none,75
english,none,85
english,none,65
english,none,75
english,none,85
english,none,80
english,none,85
english,none,90
none,none,65
none,none,70
none,none,80
none,none,75
none,none,70
none,none,60
none,none,65
none,none,70
none,none,85
none,none,60
none,none,65
none,none,75
none,none,70
none,none,80
none,none,75
english,baseball,70
english,baseball,65
english,baseball,85
english,baseball,80
english,baseball,75
english,baseball,65
english,baseball,75
english,baseball,60
english,baseball,85
english,baseball,65
english,baseball,75
english,baseball,70
english,baseball,65
english,baseball,80
english,baseball,75
none,baseball,70
none,baseball,70
none,baseball,85
none,baseball,80
none,baseball,65
none,baseball,75
none,baseball,65
none,baseball,85
none,baseball,80
none,baseball,60
none,baseball,70
none,baseball,75
none,baseball,70
none,baseball,80
none,baseball,85
