City,toStation,Area,Age,Price
NerimaKU,4,95,34,2700
Hachioji,9,110,31,2100
Hachioji,12,85,13,3000
ChuoKU,6,90,12,8800
ChuoKU,6,85,4,12000
ChuoKU,0,90,17,10000
Hachioji,8,110,2,4500
ChuoKU,8,100,27,12000
ChuoKU,1,100,15,12000
Hachioji,16,100,16,2800
NerimaKU,11,85,22,4000
Hachioji,9,90,46,2300
ChuoKU,3,85,8,7800
Hachioji,23,105,14,3000
Hachioji,15,95,26,2000
Hachioji,11,90,25,2800
Hachioji,16,95,21,2200
Hachioji,11,85,21,3900
Hachioji,4,85,22,3700
Hachioji,6,95,16,3400
ChuoKU,9,100,5,13000
NerimaKU,13,90,18,3700
Hachioji,3,90,16,3200
NerimaKU,14,85,19,4200
NerimaKU,8,85,17,6300
NerimaKU,6,100,19,6400
Hachioji,4,125,30,2100
NerimaKU,10,90,18,4900
NerimaKU,2,85,8,8200
Hachioji,15,85,21,3400
Hachioji,8,115,26,2300
Hachioji,14,105,17,3400
ChuoKU,0,90,17,9900
ChuoKU,0,90,17,9500
Hachioji,3,95,30,3200
NerimaKU,13,90,18,4100
Hachioji,11,95,15,3400
Hachioji,7,125,29,2900
Hachioji,10,90,17,3300
ChuoKU,6,85,17,7400
Hachioji,10,105,17,3400
Hachioji,6,100,10,3500
Hachioji,19,95,18,3000
ChuoKU,6,105,12,11000
Hachioji,6,95,16,3500
Hachioji,15,105,26,3000
NerimaKU,12,95,32,5400
NerimaKU,10,85,46,3600
Hachioji,6,115,39,1500
ChuoKU,7,100,29,8200
ChuoKU,8,95,27,11000
Hachioji,12,115,25,3300
NerimaKU,8,100,46,3600
NerimaKU,8,85,11,7900
Hachioji,12,90,18,2900
Hachioji,18,85,17,3000
Hachioji,9,105,17,3300
ChuoKU,13,85,11,7400
ChuoKU,1,125,18,12000
NerimaKU,13,90,31,3700
Hachioji,5,90,45,940
NerimaKU,7,85,18,4800
Hachioji,9,100,16,4500
Hachioji,8,100,10,4100
NerimaKU,3,85,31,4600
NerimaKU,2,85,29,5300
NerimaKU,12,95,25,5700
Hachioji,12,130,31,3100
NerimaKU,6,85,35,4300
ChuoKU,0,90,10,15000
Hachioji,3,95,16,3000
NerimaKU,12,90,32,4500
Hachioji,4,95,30,2500
Hachioji,15,95,21,2000
ChuoKU,0,95,5,12000
NerimaKU,6,85,35,3700
NerimaKU,8,85,46,4200
ChuoKU,9,100,5,14000
NerimaKU,11,90,32,3500
Hachioji,10,90,26,2300
NerimaKU,9,90,32,1500
Hachioji,4,110,10,4400
NerimaKU,10,85,46,4200
ChuoKU,6,85,17,7000
ChuoKU,3,85,8,7700
ChuoKU,6,105,12,17000
Hachioji,11,135,26,3400
Hachioji,19,105,12,3300
ChuoKU,9,100,5,13000
NerimaKU,20,90,21,4600
NerimaKU,12,95,32,4100
Hachioji,11,115,20,4000
NerimaKU,18,85,15,4900
Hachioji,14,85,19,3100
Hachioji,11,90,26,1600
ChuoKU,6,90,12,8800
NerimaKU,1,90,18,8300
Hachioji,8,110,2,4500
Hachioji,6,110,10,4300
ChuoKU,9,85,5,10000
NerimaKU,10,85,20,4200
NerimaKU,3,85,29,5800
Hachioji,8,100,12,2100
Hachioji,20,135,23,2800
ChuoKU,9,90,21,13000
Hachioji,15,85,13,3200
Hachioji,6,85,16,3600
Hachioji,18,110,14,3200
Hachioji,12,100,18,3000
Hachioji,15,95,26,3000
NerimaKU,5,85,35,3800
ChuoKU,6,90,12,9100
Hachioji,12,95,27,2000
ChuoKU,7,95,29,9200
ChuoKU,4,100,15,9500
Hachioji,21,100,12,2900
Hachioji,21,95,25,2100
NerimaKU,14,100,19,4000
ChuoKU,6,85,12,7600
Hachioji,6,110,30,3300
Hachioji,16,120,14,4400
Hachioji,15,100,17,3500
NerimaKU,7,105,22,5200
NerimaKU,3,90,30,6000
ChuoKU,0,85,17,8400
ChuoKU,6,95,12,9700
Hachioji,14,100,21,2300
ChuoKU,6,110,12,12000
Hachioji,9,95,12,3900
NerimaKU,13,95,18,4100
Hachioji,11,105,17,2900
NerimaKU,11,85,18,4700
NerimaKU,8,90,17,6300
ChuoKU,11,115,7,9300
ChuoKU,6,100,9,14000
Hachioji,12,90,26,2200
NerimaKU,3,85,19,7000
ChuoKU,3,85,16,9500
Hachioji,8,110,2,4700
ChuoKU,1,95,15,5700
ChuoKU,6,90,12,8900
NerimaKU,9,90,23,4800
Hachioji,13,95,28,2200
NerimaKU,13,95,32,4000
Hachioji,25,90,25,1600
Hachioji,13,95,18,3300
Hachioji,23,95,16,2900
ChuoKU,6,90,4,5900
ChuoKU,4,85,5,11000
Hachioji,14,95,26,2500
Hachioji,8,110,16,3200
NerimaKU,10,85,15,5000
Hachioji,13,85,11,3300
ChuoKU,9,120,27,15000
Hachioji,21,95,6,2900
ChuoKU,9,90,21,13000
Hachioji,5,85,21,3100
ChuoKU,1,95,3,19000
