job,gender,club,score1,score2
got,male,baseball,56,62
no,male,baseball,22,43
got,male,baseball,74,42
no,male,baseball,60,63
no,female,brassband,23,49
got,male,brassband,63,72
no,female,baseball,5,69
got,male,none,78,50
no,female,baseball,62,59
no,male,baseball,24,56
no,female,brassband,38,64
got,female,baseball,48,51
no,female,baseball,42,47
no,male,baseball,41,68
no,female,brassband,43,74
got,female,none,46,67
got,female,baseball,69,36
got,male,none,63,32
no,female,baseball,39,22
got,male,baseball,86,63
got,male,baseball,77,51
no,female,none,47,64
got,female,baseball,43,51
no,male,brassband,56,46
got,female,none,58,51
no,female,brassband,37,61
no,female,baseball,25,49
got,female,baseball,73,51
got,male,none,67,65
got,male,baseball,61,54
no,male,brassband,46,23
no,female,baseball,51,48
got,female,brassband,67,70
no,female,brassband,56,42
got,male,none,59,67
got,male,baseball,55,58
got,male,none,63,58
got,male,brassband,60,55
no,male,baseball,56,65
no,female,none,57,74
no,male,none,54,65
got,male,baseball,53,69
got,male,none,66,67
no,female,none,36,65
got,male,baseball,64,69
no,male,baseball,28,47
got,female,none,52,66
got,female,baseball,75,60
got,female,baseball,69,40
no,male,baseball,30,57
got,male,baseball,46,49
no,female,baseball,32,58
no,male,brassband,44,53
got,male,baseball,47,59
got,male,baseball,63,63
no,female,baseball,36,56
got,female,baseball,58,42
got,male,baseball,40,51
got,male,brassband,43,46
no,male,brassband,36,64
no,male,baseball,21,50
no,female,baseball,22,49
no,male,baseball,29,72
no,female,brassband,16,62
no,female,brassband,51,41
no,female,baseball,38,58
no,male,brassband,69,46
no,female,brassband,28,68
got,female,baseball,70,58
no,male,baseball,29,37
got,female,brassband,56,81
got,male,baseball,70,47
no,female,brassband,33,39
got,female,brassband,52,39
got,male,none,64,64
no,female,baseball,47,61
got,female,brassband,67,52
got,female,brassband,58,50
no,female,brassband,42,60
got,male,none,85,60
no,female,none,37,71
got,male,baseball,44,71
no,female,baseball,35,59
no,male,none,51,54
no,female,baseball,28,67
no,female,brassband,57,50
got,male,none,42,36
no,female,brassband,36,54
got,male,baseball,57,43
got,male,brassband,60,71
got,female,baseball,68,51
no,female,baseball,30,39
got,female,baseball,53,65
got,female,baseball,61,56
got,female,baseball,49,65
no,female,none,20,60
no,female,none,43,50
no,female,brassband,41,41
got,female,baseball,80,60
